TWT3,RHOB3,PWAVE3
-1111.57,2.369100094,78.12509918
-1111.89,2.404999971,74.92720032
-1112.18,2.413800001,74.14859772
-1112.6,2.399399996,75.4285965
-1112.94,2.298000097,84.45629883
-1113.26,2.263900042,87.49510193
-1113.54,2.258500099,87.97460175
-1113.8,2.154700041,97.2161026
-1114.02,2.112499952,100.9669037
-1114.19,2.102999926,101.8100967
-1114.38,2.100199938,102.0622025
-1114.57,2.094799995,102.5445023
-1114.74,2.088200092,103.1345978
-1114.9,2.103499889,101.7684021
-1115.07,2.161200047,96.63480377
-1115.3,2.245800018,89.10520172
-1115.55,2.229300022,90.57089996
-1115.81,2.160900116,96.66359711
-1116.12,2.103399992,101.7789002
-1116.46,2.105400085,101.5968018
-1116.8,2.100899935,102.0038986
-1117.16,2.072999954,104.4869003
-1117.87,2.203000069,92.90840149
-1118.61,2.08949995,103.0140991
-1119.33,2.087800026,103.1673966
-1120.02,2.180399895,94.92759705
-1120.67,2.152199984,97.43540192
-1121.32,2.194600105,93.66429901
-1122.01,2.095400095,102.4924011
-1122.74,2.006900072,110.3723984
-1123.46,2.108599901,101.3124008
-1124.19,2.114300013,100.8047028
-1124.93,2.191999912,93.88819885
-1125.6,2.230900049,90.42649841
-1126.34,2.156899929,97.01580048
-1127.07,2.2421,89.42819977
-1127.81,2.197599888,93.38999939
-1128.62,2.114900112,100.7585983
-1129.41,2.083499908,103.5490036
-1130.24,2.178999901,95.04979706
-1131.12,2.176800013,95.24700165
-1131.93,2.287800074,85.36759949
-1132.74,2.281899929,85.89289856
-1133.51,2.378400087,77.29759979
-1134.25,2.390100002,76.25859833
-1135.03,2.390799999,76.19380188
-1135.42,2.406699896,74.78340149
-1135.83,2.247699976,88.93699646
-1136.28,2.421099901,73.50119782
-1136.75,2.387300015,76.5089035
-1137.16,2.349400044,79.8809967
-1137.58,2.218300104,91.55190277
-1137.93,2.260999918,87.74960327
-1138.28,2.384500027,76.75669861
-1138.58,2.231100082,90.41010284
-1138.87,2.119899988,100.3125
-1139.16,2.342499971,80.49150085
-1139.44,2.324399948,82.10959625
-1139.82,2.35649991,79.24369812
-1140.09,2.390100002,76.25350189
-1140.38,2.35710001,79.19589996
-1140.7,2.237900019,89.80400085
-1141.09,2.230000019,90.51010132
-1141.45,2.364000082,78.57949829
-1141.75,2.354700089,79.40709686
-1142.13,2.269900084,86.96109772
-1142.58,2.250099897,88.71659851
-1142.9,2.283900023,85.70870209
-1143.23,2.402899981,75.11849976
-1143.54,2.316800118,82.78579712
-1143.83,2.365499973,78.4464035
-1144.15,2.307399988,83.61740112
-1144.81,2.184499979,94.5625
-1145.5,2.139400005,98.57299805
-1146.1,2.131900072,99.23889923
-1146.71,2.188800097,94.18019867
-1147.38,2.290600061,85.11730194
-1148.09,2.305999994,83.74220276
-1148.85,2.336800098,81.00520325
-1149.6,2.35890007,79.03620148
-1150.42,2.368499994,78.18319702
-1151.21,2.387099981,76.52829742
-1152.04,2.363199949,78.65149689
-1152.94,2.273900032,86.59780121
-1153.86,2.302700043,84.03659821
-1154.79,2.308099985,83.55729675
-1155.68,2.433599949,72.38469696
-1156.52,2.479599953,68.28910065
-1157.35,2.4921,67.18109894
-1158.15,2.368000031,78.22270203
-1158.95,2.490400076,67.32679749
-1159.74,2.465199947,69.57499695
-1160.52,2.246500015,89.04109955
-1161.31,2.333499908,81.29810333
-1162.16,2.08739996,103.1988983
-1162.99,2.320800066,82.42649841
-1163.81,2.230700016,90.44629669
-1164.57,1.887500048,121.0000992
-1165.29,1.919199944,118.1789017
-1166.01,2.036099911,107.7706986
-1166.8,2.000999928,110.8953018
-1167.51,2.322400093,82.27950287
-1168.01,2.271199942,86.83709717
-1168.62,2.23149991,90.37660217
-1169.18,2.342200041,80.51660156
-1169.89,2.167500019,96.07299805
-1170.45,1.990300059,111.8422012
-1171.08,1.965600014,114.0423966
-1171.9,1.965899944,114.020401
-1172.7,2.223400116,91.09790039
-1173.44,2.045799971,106.9023972
-1174.19,2.10010004,102.0727005
-1174.76,2.464600086,69.62770081
-1175.36,2.046099901,106.8814011
-1175.98,1.933500052,116.905098
-1176.53,1.958600044,114.6709976
-1177.19,1.815500021,127.4085007
-1177.95,1.900599957,119.8322983
-1178.73,1.727900028,135.2028046
-1179.51,1.870100021,122.5440979
-1180.13,1.938899994,116.4261017
-1180.9,1.756800056,132.6302948
-1181.7,1.764400005,131.9566956
-1182.28,1.821499944,126.867897
-1183.11,1.88530004,121.1960983
-1184,2.001600027,110.8406982
-1184.88,1.670699954,140.294693
-1185.84,1.854500055,123.9376984
-1186.76,1.776000023,130.9199982
-1187.77,1.951500058,115.3035965
-1188.66,2.083699942,103.5337982
-1189.43,2.33739996,80.94730377
-1190.31,2.195199966,93.60420227
-1191.19,2.25699997,88.10849762
-1192.04,2.265399933,87.3565979
-1193.33,1.943099976,116.0509033
-1194.56,2.017699957,109.4101028
-1195.98,2.047699928,106.7350006
-1197.3,2.182600021,94.72389984
-1198.66,2.125200033,99.83799744
-1199.92,2.04189992,107.2530975
-1201.1,2.021500111,109.0650024
-1202.13,2.02579999,108.6893997
-1202.81,2.124300003,99.91600037
-1203.32,2.353199959,79.53839874
-1203.83,2.360699892,78.8769989
-1204.52,2.106899977,101.4654007
-1205.17,1.985100031,112.3100967
-1205.8,1.990499973,111.8252029
-1206.36,1.84679997,124.6229019
-1206.95,1.843500018,124.911499
-1207.59,1.84070003,125.1647034
-1208.23,1.484699965,156.8527069
-1208.88,1.773499966,131.1450043
-1209.47,1.91050005,118.9521027
-1209.93,1.934399962,116.8255997
-1210.38,1.88380003,121.3228989
-1210.98,2.036299944,107.7479019
-1211.65,1.907600045,119.2076035
-1212.31,2.004499912,110.5832977
-1213.06,1.879799962,121.6784973
-1213.79,1.912999988,118.7238998
-1214.51,1.931399941,117.0915985
-1215.44,1.888900042,120.8725967
-1216.21,1.835999966,125.5792999
-1216.91,1.860800028,123.3721008
-1217.6,1.982800007,112.5146027
-1218.3,1.797000051,129.0523987
-1218.74,1.991299987,111.759697
-1219.25,2.000999928,110.892601
-1219.7,1.975000024,113.2116013
-1220.22,2.048399925,106.6707993
-1220.72,2.003999949,110.6280975
-1221.21,1.904299974,119.4974976
-1221.73,1.996199966,111.3238983
-1222.29,2.095799923,102.4582977
-1223.12,1.917099953,118.3662033
-1223.9,1.980399966,112.7273026
-1224.78,1.973899961,113.3099976
-1225.56,1.985499978,112.2771988
-1226.33,1.934800029,116.7856979
-1227.11,1.871799946,122.3986969
-1227.85,2.010799885,110.0252991
-1228.62,1.857900024,123.6351013
-1229.44,2.157200098,96.98560333
-1230.21,1.892400026,120.5607987
-1230.93,1.91079998,118.9197998
-1231.74,1.848799944,124.4432983
-1232.52,2.024699926,108.7838974
-1233.31,1.965399981,114.0590973
-1234.09,2.063999891,105.2845993
-1234.89,2.085900068,103.3315964
-1235.74,2.059400082,105.6912994
-1236.5,1.942700028,116.0871964
-1237.35,1.92990005,117.2216034
-1238.03,1.925699949,117.596199
-1238.86,2.031100035,108.2171021
-1239.52,2.055999994,105.9985962
-1240.07,2.026900053,108.5904007
-1240.51,2.063499928,105.3327026
-1241.01,2.041500092,107.2912979
-1241.46,1.871999979,122.373703
-1241.89,1.96360004,114.2241974
-1242.35,2.066499949,105.0631027
-1242.87,2.098500013,102.2108994
-1243.4,2.289599896,85.20240021
-1243.93,2.171299934,95.73210144
-1244.4,2.21449995,91.88500214
-1244.85,2.161600113,96.59420013
-1245.32,2.141200066,98.41480255
-1245.77,2.175800085,95.33399963
-1246.23,2.436700106,72.11209869
-1246.8,2.250099897,88.72200012
-1247.3,2.158799887,96.84490204
-1247.76,2.214600086,91.87609863
-1248.66,2.178200007,95.12249756
-1249.53,2.309600115,83.42500305
-1250.47,2.09100008,102.8854981
-1251.39,2.103600025,101.7564011
-1252.33,2.140700102,98.45559692
-1253.29,2.142800093,98.26789856
-1254.22,2.1243999,99.90910339
-1255.01,2.152299881,97.42960358
-1255.9,2.109699965,101.2145004
-1256.85,2.108200073,101.3497009
