TWT,DEPTH1,CALI2,RHOB2,GR2,INDUCTION2,NPHI2,PWAVE2,,TWT3,RHOB3,PWAVE3
-152.87,150,,,,,,0,,-1016.18,2.058099985,105.8070984
-153.97,151,,,,,,0,,-1016.68,2.046099901,106.8756027
-155.07,152,,,,,,0,,-1017.15,2.068799973,104.8551025
-156.16,153,,,,,,0,,-1017.64,2.065299988,105.1689987
-157.26,154,,,,,,0,,-1018.12,2.124599934,99.89459992
-158.35,155,,,,,,0,,-1018.62,2.075099945,104.3009033
-159.45,156,,,,,,0,,-1019.16,2.118299961,100.449501
-160.55,157,,,,,,0,,-1019.64,2.074700117,104.3287964
-161.64,158,,,,,,0,,-1020.11,2.132400036,99.19709778
-162.74,159,,,,,,0,,-1020.58,2.091599941,102.8312988
-163.84,160,,,,,,0,,-1021.07,2.110100031,101.1776962
-164.93,161,,,,,,0,,-1021.58,2.086199999,103.3132019
-166.03,162,,,,,,0,,-1022.07,2.12409997,99.93119812
-167.13,163,,,,,,0,,-1022.55,2.043100119,107.1434021
-168.22,164,,,,,,0,,-1023.03,2.053900003,106.1869965
-169.32,165,,,,,,0,,-1023.47,2.069600105,104.7869034
-170.41,166,,,,,,0,,-1023.95,2.114300013,100.8117981
-171.51,167,,,,,,0,,-1024.4,2.145100117,98.06700134
-172.61,168,,,,,,0,,-1024.87,1.997099996,111.2415009
-173.7,169,,,,,,0,,-1025.31,2.071500063,104.6222
-174.8,170,,,,,,0,,-1025.78,2.177700043,95.16390228
-175.9,171,,,,,,0,,-1026.23,2.065299988,105.1729965
-176.99,172,,,,,,0,,-1026.7,2.081500053,103.7244034
-178.09,173,,,,,,0,,-1027.14,2.171200037,95.74629974
-179.19,174,,,,,,0,,-1027.64,2.247800112,88.92150116
-180.28,175,,,,,,0,,-1028.12,2.309299946,83.4477005
-181.38,176,,,,,,0,,-1028.6,2.220999956,91.30889893
-182.47,177,,,,,,0,,-1029.05,2.221999884,91.21790314
-183.57,178,,,,,,0,,-1029.49,2.153300047,97.33300018
-184.67,179,,,,,,0,,-1030.01,1.991799951,111.7156982
-185.76,180,,,,,,0,,-1030.48,2.111099958,101.0908966
-186.86,181,,,,,,0,,-1030.9,2.063299894,105.3452988
-187.96,182,,,,,,0,,-1031.47,2.063699961,105.3130035
-189.05,183,,,,,,0,,-1032.42,2.084800005,103.436203
-190.15,184,,,,,,0,,-1033.32,2.11590004,100.6641007
-191.25,185,,,,,,0,,-1034.17,2.137599945,98.72940064
-192.34,186,,,,,,0,,-1034.99,2.094500065,102.5725021
-193.44,187,,,,,,0,,-1035.86,2.071099997,104.649498
-194.54,188,,,,,,0,,-1036.73,2.109299898,101.254303
-195.63,189,,,,,,0,,-1037.64,2.125799894,99.78029633
